Rank,Name,Tm,League,Year,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
2,Mike Piazza,LAD,NL,1996,237,0,60%,5.4,148,547,87,184,36,105,0,81,0.336,0.422,0.563,0.985,,,,,,,,,,,,
3,Ellis Burks,COL,NL,1996,186,0,47%,7.9,156,613,142,211,40,128,32,61,0.344,0.408,0.639,1.047,,,,,,,,,,,,
4,Chipper Jones,ATL,NL,1996,158,0,40%,6.2,157,598,114,185,30,110,14,87,0.309,0.393,0.53,0.923,,,,,,,,,,,,
5,Barry Bonds,SFG,NL,1996,132,0,34%,9.7,158,517,122,159,42,129,40,151,0.308,0.461,0.615,1.076,,,,,,,,,,,,
6,Andrés Galarraga,COL,NL,1996,112,0,29%,4.2,159,626,119,190,47,150,18,40,0.304,0.357,0.601,0.958,,,,,,,,,,,,
6,Gary Sheffield,FLA,NL,1996,112,0,29%,5.9,161,519,118,163,42,120,16,142,0.314,0.465,0.624,1.09,,,,,,,,,,,,
8,Brian Jordan,STL,NL,1996,69,0,18%,5.5,140,513,82,159,17,104,22,29,0.31,0.349,0.483,0.833,,,,,,,,,,,,
9,Jeff Bagwell,HOU,NL,1996,59,0,15%,7.5,162,568,111,179,31,120,21,135,0.315,0.451,0.57,1.021,,,,,,,,,,,,
1,Larry Walker,COL,NL,1997,359,22,92%,9.8,153,568,143,208,49,130,33,78,0.366,0.452,0.72,1.172,,,,,,,,,,,,
2,Mike Piazza,LAD,NL,1997,263,3,67%,8.7,152,556,104,201,40,124,5,69,0.362,0.431,0.638,1.07,,,,,,,,,,,,
3,Jeff Bagwell,HOU,NL,1997,233,3,59%,7.7,162,566,109,162,43,135,31,127,0.286,0.425,0.592,1.017,,,,,,,,,,,,
4,Craig Biggio,HOU,NL,1997,157,0,40%,9.4,162,619,146,191,22,81,47,84,0.309,0.415,0.501,0.916,,,,,,,,,,,,
5,Barry Bonds,SFG,NL,1997,123,0,31%,8.2,159,532,123,155,40,101,37,145,0.291,0.446,0.585,1.031,,,,,,,,,,,,
6,Tony Gwynn,SDP,NL,1997,113,0,29%,4.3,149,592,97,220,17,119,12,43,0.372,0.409,0.547,0.957,,,,,,,,,,,,
7,Andrés Galarraga,COL,NL,1997,85,0,22%,3.8,154,600,120,191,41,140,15,54,0.318,0.389,0.585,0.974,,,,,,,,,,,,
8,Jeff Kent,SFG,NL,1997,80,0,20%,4.1,155,580,90,145,29,121,11,48,0.25,0.316,0.472,0.789,,,,,,,,,,,,
9,Chipper Jones,ATL,NL,1997,70,0,18%,3.9,157,597,100,176,21,111,20,76,0.295,0.371,0.479,0.85,,,,,,,,,,,,
1,Sammy Sosa,CHC,NL,1998,438,30,98%,6.5,159,643,134,198,66,158,18,73,0.308,0.377,0.647,1.024,,,,,,,,,,,,
2,Mark McGwire,STL,NL,1998,272,2,61%,7.5,155,509,130,152,70,147,1,162,0.299,0.47,0.752,1.222,,,,,,,,,,,,
3,Moisés Alou,HOU,NL,1998,215,0,48%,6.2,159,584,104,182,38,124,11,84,0.312,0.399,0.582,0.981,,,,,,,,,,,,
4,Greg Vaughn,SDP,NL,1998,185,0,41%,6.3,158,573,112,156,50,119,11,79,0.272,0.363,0.597,0.96,,,,,,,,,,,,
5,Craig Biggio,HOU,NL,1998,163,0,36%,6.5,160,646,123,210,20,88,50,64,0.325,0.403,0.503,0.906,,,,,,,,,,,,
6,Andrés Galarraga,ATL,NL,1998,147,0,33%,5,153,555,103,169,44,121,7,63,0.305,0.397,0.595,0.991,,,,,,,,,,,,
7,Trevor Hoffman,SDP,NL,1998,117,0,26%,4.1,63,3,0,0,0,0,0,0,0,0,0,0,4,2,1.48,0.849,66,0,53,73,41,2,21,86
8,Barry Bonds,SFG,NL,1998,66,0,15%,8.1,156,552,120,167,37,122,28,130,0.303,0.438,0.609,1.047,,,,,,,,,,,,
9,Chipper Jones,ATL,NL,1998,56,0,13%,7,160,601,123,188,34,107,16,96,0.313,0.404,0.547,0.951,,,,,,,,,,,,
1,Chipper Jones,ATL,NL,1999,432,29,96%,6.9,157,567,116,181,45,110,25,126,0.319,0.441,0.633,1.074,,,,,,,,,,,,
2,Jeff Bagwell,HOU,NL,1999,276,1,62%,7.4,162,562,143,171,42,126,30,149,0.304,0.454,0.591,1.045,,,,,,,,,,,,
3,Matt Williams,ARI,NL,1999,269,2,60%,4.1,154,627,98,190,35,142,2,41,0.303,0.344,0.536,0.88,,,,,,,,,,,,
4,Greg Vaughn,CIN,NL,1999,121,0,27%,3.4,153,550,104,135,45,118,15,85,0.245,0.347,0.535,0.881,,,,,,,,,,,,
5,Mark McGwire,STL,NL,1999,115,0,26%,5.2,153,521,118,145,65,147,0,133,0.278,0.424,0.697,1.12,,,,,,,,,,,,
6,Robin Ventura,NYM,NL,1999,113,0,25%,6.7,161,588,88,177,32,120,1,74,0.301,0.379,0.529,0.908,,,,,,,,,,,,
7,Mike Piazza,NYM,NL,1999,109,0,24%,4.3,141,534,100,162,40,124,2,51,0.303,0.361,0.575,0.936,,,,,,,,,,,,
8,Edgardo Alfonzo,NYM,NL,1999,88,0,20%,6,158,628,123,191,27,108,9,85,0.304,0.385,0.502,0.886,,,,,,,,,,,,
9,Sammy Sosa,CHC,NL,1999,87,0,19%,4.8,162,625,114,180,63,141,7,78,0.288,0.367,0.635,1.002,,,,,,,,,,,,
1,Jeff Kent,SFG,NL,2000,392,22,88%,7.2,159,587,114,196,33,125,12,90,0.334,0.424,0.596,1.021,,,,,,,,,,,,
2,Barry Bonds,SFG,NL,2000,279,6,62%,7.7,143,480,129,147,49,106,11,117,0.306,0.44,0.688,1.127,,,,,,,,,,,,
3,Mike Piazza,NYM,NL,2000,271,3,60%,5.1,136,482,90,156,38,113,4,58,0.324,0.398,0.614,1.012,,,,,,,,,,,,
4,Jim Edmonds,STL,NL,2000,208,0,46%,6.3,152,525,129,155,42,108,10,103,0.295,0.411,0.583,0.994,,,,,,,,,,,,
5,Todd Helton,COL,NL,2000,198,1,44%,8.9,160,580,138,216,42,147,5,103,0.372,0.463,0.698,1.162,,,,,,,,,,,,
6,Vladimir Guerrero,MON,NL,2000,117,0,26%,6,154,571,101,197,44,123,9,58,0.345,0.41,0.664,1.074,,,,,,,,,,,,
7,Jeff Bagwell,HOU,NL,2000,102,0,23%,5.4,159,590,152,183,47,132,9,107,0.31,0.424,0.615,1.039,,,,,,,,,,,,
8,Andruw Jones,ATL,NL,2000,95,0,21%,8.2,161,656,122,199,36,104,21,59,0.303,0.366,0.541,0.907,,,,,,,,,,,,
9,Gary Sheffield,LAD,NL,2000,71,0,16%,6.1,141,501,105,163,43,109,4,101,0.325,0.438,0.643,1.081,,,,,,,,,,,,
1,Barry Bonds,SFG,NL,2001,438,30,98%,11.9,153,476,129,156,73,137,13,177,0.328,0.515,0.863,1.379,,,,,,,,,,,,
2,Sammy Sosa,CHC,NL,2001,278,2,62%,10.3,160,577,146,189,64,160,0,116,0.328,0.437,0.737,1.174,,,,,,,,,,,,
3,Luis Gonzalez,ARI,NL,2001,261,0,58%,7.9,162,609,128,198,57,142,1,100,0.325,0.429,0.688,1.117,,,,,,,,,,,,
4,Albert Pujols,STL,NL,2001,222,0,50%,6.6,161,590,112,194,37,130,1,69,0.329,0.403,0.61,1.013,,,,,,,,,,,,
5,Lance Berkman,HOU,NL,2001,125,0,28%,6.5,156,577,110,191,34,126,7,92,0.331,0.43,0.62,1.051,,,,,,,,,,,,
6,Shawn Green,LAD,NL,2001,112,0,25%,7,161,619,121,184,49,125,20,72,0.297,0.372,0.598,0.97,,,,,,,,,,,,
7,Jeff Bagwell,HOU,NL,2001,109,0,24%,5.9,161,600,126,173,39,130,11,106,0.288,0.397,0.568,0.966,,,,,,,,,,,,
8,Chipper Jones,ATL,NL,2001,100,0,22%,5.9,159,572,113,189,38,102,9,98,0.33,0.427,0.605,1.032,,,,,,,,,,,,
9,Todd Helton,COL,NL,2001,90,0,20%,7.8,159,587,132,197,49,146,7,98,0.336,0.432,0.685,1.116,,,,,,,,,,,,
1,Barry Bonds,SFG,NL,2002,448,32,100%,11.8,143,403,117,149,46,110,9,198,0.37,0.582,0.799,1.381,,,,,,,,,,,,
2,Albert Pujols,STL,NL,2002,276,0,62%,5.5,157,590,118,185,34,127,2,72,0.314,0.394,0.561,0.955,,,,,,,,,,,,
3,Lance Berkman,HOU,NL,2002,181,0,40%,4.8,158,578,106,169,42,128,8,107,0.292,0.405,0.578,0.982,,,,,,,,,,,,
4,Vladimir Guerrero,MON,NL,2002,168,0,38%,7.1,161,614,106,206,39,111,40,84,0.336,0.417,0.593,1.01,,,,,,,,,,,,
5,Shawn Green,LAD,NL,2002,146,0,33%,6.9,158,582,110,166,42,114,8,93,0.285,0.385,0.558,0.944,,,,,,,,,,,,
6,Jeff Kent,SFG,NL,2002,135,0,30%,7.1,152,623,102,195,37,108,5,52,0.313,0.368,0.565,0.933,,,,,,,,,,,,
7,Randy Johnson,ARI,NL,2002,127,0,28%,10.5,34,89,4,12,0,8,0,3,0.135,0.161,0.169,0.33,24,5,2.32,1.031,35,35,0,260,197,26,71,334
8,John Smoltz,ATL,NL,2002,124,0,28%,1.2,72,2,0,0,0,0,0,0,0,0,0,0,3,2,3.25,1.033,75,0,55,80.1,59,4,24,85
9,Sammy Sosa,CHC,NL,2002,63,0,14%,5.8,150,556,122,160,49,108,2,103,0.288,0.399,0.594,0.993,,,,,,,,,,,,
1,Barry Bonds,SFG,NL,2003,426,28,95%,9.2,130,390,111,133,45,90,7,148,0.341,0.529,0.749,1.278,,,,,,,,,,,,
2,Albert Pujols,STL,NL,2003,303,3,68%,8.7,157,591,137,212,43,124,5,79,0.359,0.439,0.667,1.106,,,,,,,,,,,,
3,Gary Sheffield,ATL,NL,2003,247,1,55%,6.8,155,576,126,190,39,132,18,86,0.33,0.419,0.604,1.023,,,,,,,,,,,,
4,Jim Thome,PHI,NL,2003,203,0,45%,4.7,159,578,111,154,47,131,0,111,0.266,0.385,0.573,0.958,,,,,,,,,,,,
5,Javy López,ATL,NL,2003,159,0,35%,6.8,129,457,89,150,43,109,0,33,0.328,0.378,0.687,1.065,,,,,,,,,,,,
6,Éric Gagné,LAD,NL,2003,143,0,32%,3.7,72,0,0,0,0,0,0,0,,,,,2,3,1.2,0.692,77,0,55,82.1,37,2,20,137
7,Todd Helton,COL,NL,2003,75,0,17%,6.3,160,583,135,209,33,117,0,111,0.358,0.458,0.63,1.088,,,,,,,,,,,,
8,Sammy Sosa,CHC,NL,2003,53,0,12%,2.7,137,517,99,144,40,103,0,62,0.279,0.358,0.553,0.911,,,,,,,,,,,,
9,Mark Prior,CHC,NL,2003,44,0,10%,7.9,31,72,6,18,1,6,0,2,0.25,0.27,0.347,0.617,18,6,2.43,1.103,30,30,0,211.1,183,15,50,245
1,Barry Bonds,SFG,NL,2004,407,24,91%,10.6,147,373,129,135,45,101,6,232,0.362,0.609,0.812,1.422,,,,,,,,,,,,
2,Adrian Beltré,LAD,NL,2004,311,6,69%,9.6,156,598,104,200,48,121,7,53,0.334,0.388,0.629,1.017,,,,,,,,,,,,
3,Albert Pujols,STL,NL,2004,247,1,55%,8.5,154,592,133,196,46,123,5,84,0.331,0.415,0.657,1.072,,,,,,,,,,,,
4,Scott Rolen,STL,NL,2004,226,1,50%,9.2,142,500,109,157,34,124,4,72,0.314,0.409,0.598,1.007,,,,,,,,,,,,
5,Jim Edmonds,STL,NL,2004,160,0,36%,7.2,153,498,102,150,42,111,8,101,0.301,0.418,0.643,1.061,,,,,,,,,,,,
6,J.D. Drew,ATL,NL,2004,114,0,25%,8.3,145,518,118,158,31,93,12,118,0.305,0.436,0.569,1.006,,,,,,,,,,,,
7,Lance Berkman,HOU,NL,2004,100,0,22%,6,160,544,104,172,30,106,9,127,0.316,0.45,0.566,1.016,,,,,,,,,,,,
8,Roger Clemens,HOU,NL,2004,61,0,14%,5.4,32,72,1,12,0,7,0,3,0.167,0.2,0.181,0.381,18,4,2.98,1.157,33,33,0,214.1,169,15,79,218
9,Mark Loretta,SDP,NL,2004,50,0,11%,6,154,620,108,208,16,76,5,58,0.335,0.391,0.495,0.886,,,,,,,,,,,,
1,Albert Pujols,STL,NL,2005,378,18,84%,8.4,161,591,129,195,41,117,16,97,0.33,0.43,0.609,1.039,,,,,,,,,,,,
2,Andruw Jones,ATL,NL,2005,351,13,78%,6.7,160,586,95,154,51,128,5,64,0.263,0.347,0.575,0.922,,,,,,,,,,,,
3,Derrek Lee,CHC,NL,2005,263,1,59%,7.7,158,594,120,199,46,107,15,85,0.335,0.418,0.662,1.08,,,,,,,,,,,,
4,Morgan Ensberg,HOU,NL,2005,160,0,36%,6.3,150,526,86,149,36,101,6,85,0.283,0.388,0.557,0.945,,,,,,,,,,,,
5,Miguel Cabrera,FLA,NL,2005,146,0,33%,5.2,158,613,106,198,33,116,1,64,0.323,0.385,0.561,0.947,,,,,,,,,,,,
6,Carlos Delgado,FLA,NL,2005,84,0,19%,2.8,144,521,81,157,33,115,0,72,0.301,0.399,0.582,0.981,,,,,,,,,,,,
7,Pat Burrell,PHI,NL,2005,65,0,15%,3.6,154,562,78,158,32,117,0,99,0.281,0.389,0.504,0.892,,,,,,,,,,,,
8,Chris Carpenter,STL,NL,2005,52,0,12%,5.4,32,77,7,5,0,2,0,5,0.065,0.12,0.091,0.211,21,5,2.83,1.055,33,33,0,241.2,204,18,51,213
9,Brian Giles,SDP,NL,2005,48,0,11%,4.9,158,545,92,164,15,83,13,119,0.301,0.423,0.483,0.905,,,,,,,,,,,,
1,Ryan Howard,PHI,NL,2006,388,20,87%,5.2,159,581,104,182,58,149,0,108,0.313,0.425,0.659,1.084,,,,,,,,,,,,
2,Albert Pujols,STL,NL,2006,347,12,77%,8.5,143,535,119,177,49,137,7,92,0.331,0.431,0.671,1.102,,,,,,,,,,,,
3,Lance Berkman,HOU,NL,2006,230,0,51%,6,152,536,95,169,45,136,3,98,0.315,0.42,0.621,1.041,,,,,,,,,,,,
4,Carlos Beltrán,NYM,NL,2006,211,0,47%,8.2,140,510,127,140,41,116,18,95,0.275,0.388,0.594,0.982,,,,,,,,,,,,
5,Miguel Cabrera,FLA,NL,2006,170,0,38%,5.8,158,576,112,195,26,114,9,86,0.339,0.43,0.568,0.998,,,,,,,,,,,,
6,Alfonso Soriano,WSN,NL,2006,106,0,24%,6.1,159,647,119,179,46,95,41,67,0.277,0.351,0.56,0.911,,,,,,,,,,,,
7,José Reyes,NYM,NL,2006,98,0,22%,5.9,153,647,122,194,19,81,64,53,0.3,0.354,0.487,0.841,,,,,,,,,,,,
7,Chase Utley,PHI,NL,2006,98,0,22%,7.3,160,658,131,203,32,102,15,63,0.309,0.379,0.527,0.906,,,,,,,,,,,,
9,David Wright,NYM,NL,2006,70,0,16%,4.1,154,582,96,181,26,116,20,66,0.311,0.381,0.531,0.912,,,,,,,,,,,,
1,Jimmy Rollins,PHI,NL,2007,353,16,79%,6.1,162,716,139,212,30,94,41,49,0.296,0.344,0.531,0.875,,,,,,,,,,,,
2,Matt Holliday,COL,NL,2007,336,11,75%,6,158,636,120,216,36,137,11,63,0.34,0.405,0.607,1.012,,,,,,,,,,,,
3,Prince Fielder,MIL,NL,2007,284,5,63%,3.6,158,573,109,165,50,119,2,90,0.288,0.395,0.618,1.013,,,,,,,,,,,,
4,David Wright,NYM,NL,2007,182,0,41%,8.3,160,604,113,196,30,107,34,94,0.325,0.416,0.546,0.963,,,,,,,,,,,,
5,Ryan Howard,PHI,NL,2007,112,0,25%,2.9,144,529,94,142,47,136,1,107,0.268,0.392,0.584,0.976,,,,,,,,,,,,
6,Chipper Jones,ATL,NL,2007,107,0,24%,7.6,134,513,108,173,29,102,5,82,0.337,0.425,0.604,1.029,,,,,,,,,,,,
7,Jake Peavy,SDP,NL,2007,97,0,22%,6.8,36,73,8,17,0,7,0,2,0.233,0.25,0.315,0.565,19,6,2.54,1.061,34,34,0,223.1,169,13,68,240
8,Chase Utley,PHI,NL,2007,89,0,20%,7.8,132,530,104,176,22,103,9,50,0.332,0.41,0.566,0.976,,,,,,,,,,,,
9,Albert Pujols,STL,NL,2007,50,0,11%,8.7,158,565,99,185,32,103,2,99,0.327,0.429,0.568,0.997,,,,,,,,,,,,
1,Albert Pujols,STL,NL,2008,369,18,82%,9.2,148,524,100,187,37,116,7,104,0.357,0.462,0.653,1.114,,,,,,,,,,,,
2,Ryan Howard,PHI,NL,2008,308,12,69%,1.8,162,610,105,153,48,146,1,81,0.251,0.339,0.543,0.881,,,,,,,,,,,,
3,Ryan Braun,MIL,NL,2008,139,0,31%,4.6,151,611,92,174,37,106,14,42,0.285,0.335,0.553,0.888,,,,,,,,,,,,
4,Manny Ramirez,LAD,NL,2008,138,0,31%,3.5,53,187,36,74,17,53,2,35,0.396,0.489,0.743,1.232,,,,,,,,,,,,
5,Lance Berkman,HOU,NL,2008,126,0,28%,6.9,159,554,114,173,29,106,18,99,0.312,0.42,0.567,0.986,,,,,,,,,,,,
6,CC Sabathia,MIL,NL,2008,121,0,27%,5.2,17,48,3,11,1,6,0,0,0.229,0.229,0.333,0.563,11,2,1.65,1.003,17,17,0,130.2,106,6,25,128
7,David Wright,NYM,NL,2008,115,0,26%,6.9,160,626,115,189,33,124,15,94,0.302,0.39,0.534,0.924,,,,,,,,,,,,
8,Brad Lidge,PHI,NL,2008,104,2,23%,2.4,71,0,0,0,0,0,0,0,,,,,2,0,1.95,1.226,72,0,41,69.1,50,2,35,92
9,Carlos Delgado,NYM,NL,2008,96,0,21%,1.3,159,598,96,162,38,115,1,72,0.271,0.353,0.518,0.871,,,,,,,,,,,,
1,Albert Pujols,STL,NL,2009,448,32,100%,9.7,160,568,124,186,47,135,16,115,0.327,0.443,0.658,1.101,,,,,,,,,,,,
2,Hanley Ramírez,FLA,NL,2009,233,0,52%,7.3,151,576,101,197,24,106,27,61,0.342,0.41,0.543,0.954,,,,,,,,,,,,
3,Ryan Howard,PHI,NL,2009,217,0,48%,3.8,160,616,105,172,45,141,8,75,0.279,0.36,0.571,0.931,,,,,,,,,,,,
4,Prince Fielder,MIL,NL,2009,203,0,45%,6.3,162,591,103,177,46,141,2,110,0.299,0.412,0.602,1.014,,,,,,,,,,,,
5,Troy Tulowitzki,COL,NL,2009,172,0,38%,6.5,151,543,101,161,32,92,20,73,0.297,0.377,0.552,0.93,,,,,,,,,,,,
6,Andre Ethier,LAD,NL,2009,113,0,25%,3,160,596,92,162,31,106,6,72,0.272,0.361,0.508,0.869,,,,,,,,,,,,
7,Pablo Sandoval,SFG,NL,2009,89,0,20%,4.3,153,572,79,189,25,90,5,52,0.33,0.387,0.556,0.943,,,,,,,,,,,,
8,Chase Utley,PHI,NL,2009,84,0,19%,8.2,156,571,112,161,31,93,23,88,0.282,0.397,0.508,0.905,,,,,,,,,,,,
9,Derrek Lee,CHC,NL,2009,66,0,15%,5.4,141,532,91,163,35,111,1,76,0.306,0.393,0.579,0.972,,,,,,,,,,,,
1,Joey Votto,CIN,NL,2010,443,31,99%,7,150,547,106,177,37,113,16,91,0.324,0.424,0.6,1.024,,,,,,,,,,,,
2,Albert Pujols,STL,NL,2010,279,1,62%,7.5,159,587,115,183,42,118,14,103,0.312,0.414,0.596,1.011,,,,,,,,,,,,
3,Carlos González,COL,NL,2010,240,0,54%,5.9,145,587,111,197,34,117,26,40,0.336,0.376,0.598,0.974,,,,,,,,,,,,
4,Adrián González,SDP,NL,2010,197,0,44%,4.4,160,591,87,176,31,101,0,93,0.298,0.393,0.511,0.904,,,,,,,,,,,,
5,Troy Tulowitzki,COL,NL,2010,132,0,29%,6.7,122,470,89,148,27,95,11,48,0.315,0.381,0.568,0.949,,,,,,,,,,,,
6,Roy Halladay,PHI,NL,2010,130,0,29%,8.3,31,92,6,13,0,5,0,1,0.141,0.151,0.141,0.292,21,10,2.44,1.041,33,33,0,250.2,231,24,30,219
7,Aubrey Huff,SFG,NL,2010,70,0,16%,5.7,157,569,100,165,26,86,7,83,0.29,0.385,0.506,0.891,,,,,,,,,,,,
8,Jayson Werth,PHI,NL,2010,52,0,12%,4.5,156,554,106,164,27,85,13,82,0.296,0.388,0.532,0.921,,,,,,,,,,,,
9,Martín Prado,ATL,NL,2010,51,0,11%,5,140,599,100,184,15,66,5,40,0.307,0.35,0.459,0.809,,,,,,,,,,,,
1,Ryan Braun,MIL,NL,2011,388,20,87%,7.7,150,563,109,187,33,111,33,58,0.332,0.397,0.597,0.994,,,,,,,,,,,,
2,Matt Kemp,LAD,NL,2011,332,10,74%,8,161,602,115,195,39,126,40,74,0.324,0.399,0.586,0.986,,,,,,,,,,,,
3,Prince Fielder,MIL,NL,2011,229,1,51%,4.5,162,569,95,170,38,120,1,107,0.299,0.415,0.566,0.981,,,,,,,,,,,,
4,Justin Upton,ARI,NL,2011,214,1,48%,5.5,159,592,105,171,31,88,21,59,0.289,0.369,0.529,0.898,,,,,,,,,,,,
5,Albert Pujols,STL,NL,2011,166,0,37%,5.3,147,579,105,173,37,99,9,61,0.299,0.366,0.541,0.906,,,,,,,,,,,,
6,Joey Votto,CIN,NL,2011,135,0,30%,6.6,161,599,101,185,29,103,8,110,0.309,0.416,0.531,0.947,,,,,,,,,,,,
7,Lance Berkman,STL,NL,2011,118,0,26%,3.8,145,488,90,147,31,94,2,92,0.301,0.412,0.547,0.959,,,,,,,,,,,,
8,Troy Tulowitzki,COL,NL,2011,69,0,15%,6.2,143,537,81,162,30,105,9,59,0.302,0.372,0.544,0.916,,,,,,,,,,,,
9,Roy Halladay,PHI,NL,2011,52,0,12%,8.6,31,74,3,9,0,3,0,2,0.122,0.145,0.149,0.293,19,6,2.35,1.04,32,32,0,233.2,208,10,35,220
1,Buster Posey,SFG,NL,2012,422,27,94%,7.6,148,530,78,178,24,103,1,69,0.336,0.408,0.549,0.957,,,,,,,,,,,,
2,Ryan Braun,MIL,NL,2012,285,3,64%,6.9,154,598,108,191,41,112,30,63,0.319,0.391,0.595,0.987,,,,,,,,,,,,
3,Andrew McCutchen,PIT,NL,2012,245,0,55%,6.9,157,593,107,194,31,96,20,70,0.327,0.4,0.553,0.953,,,,,,,,,,,,
