Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
2,Sal Bando,OAK,AL,1971,182,4,54%,6.4,153,538,75,146,24,94,3,86,0.271,0.377,0.452,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Frank Robinson,BAL,AL,1971,170,2,51%,3.3,133,455,82,128,28,99,3,72,0.281,0.384,0.51,0.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Brooks Robinson,BAL,AL,1971,163,3,49%,6,156,589,67,160,20,92,0,63,0.272,0.341,0.413,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Mickey Lolich,DET,AL,1971,155,1,46%,8.6,45,115,9,15,0,7,0,16,0.13,0.242,0.148,0.39,25,14,2.92,1.138,45,45,0,376,336,36,92,308
6,Freddie Patek,KCR,AL,1971,77,0,23%,4.1,147,591,86,158,6,36,49,44,0.267,0.323,0.371,0.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Bobby Murcer,NYY,AL,1971,72,0,21%,6.5,146,529,94,175,25,94,14,91,0.331,0.427,0.543,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Amos Otis,KCR,AL,1971,67,0,20%,5.3,147,555,80,167,15,79,52,40,0.301,0.345,0.443,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Wilbur Wood,CHW,AL,1971,54,0,16%,11,44,96,1,5,0,0,1,11,0.052,0.15,0.052,0.202,22,13,1.91,1,44,42,1,334,272,21,62,210
1,Dick Allen,CHW,AL,1972,321,21,96%,8.6,148,506,90,156,37,113,19,99,0.308,0.42,0.603,1.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Joe Rudi,OAK,AL,1972,164,1,49%,6.1,147,593,94,181,19,75,3,37,0.305,0.345,0.486,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Sparky Lyle,NYY,AL,1972,158,1,47%,3.7,59,21,2,4,0,1,0,1,0.19,0.227,0.238,0.465,9,5,1.92,1.05,59,0,35,107.2,84,3,29,75
4,Carlton Fisk,BOS,AL,1972,96,0,29%,7.3,131,457,74,134,22,61,5,52,0.293,0.37,0.538,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Bobby Murcer,NYY,AL,1972,89,0,26%,8.2,153,585,102,171,33,96,11,63,0.292,0.361,0.537,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Gaylord Perry,CLE,AL,1972,88,0,26%,11,41,110,5,17,1,9,0,5,0.155,0.197,0.2,0.397,24,16,1.92,0.978,41,40,1,342.2,253,17,82,234
7,Wilbur Wood,CHW,AL,1972,78,0,23%,10.3,49,125,8,17,0,7,0,6,0.136,0.176,0.136,0.312,24,17,2.51,1.059,49,49,0,376.2,325,28,74,193
8,Luis Tiant,BOS,AL,1972,70,0,21%,6.2,43,56,3,6,0,4,0,2,0.107,0.138,0.125,0.263,15,6,1.91,1.078,43,19,3,179,128,7,65,123
9,Ed Brinkman,DET,AL,1972,62,0,18%,0.7,156,516,42,105,6,49,0,38,0.203,0.259,0.279,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Reggie Jackson,OAK,AL,1973,336,24,100%,7.8,151,539,99,158,32,117,22,76,0.293,0.383,0.531,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Jim Palmer,BAL,AL,1973,172,0,51%,6.3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,22,9,2.4,1.141,38,37,1,296.1,225,16,113,158
3,Amos Otis,KCR,AL,1973,112,0,33%,4,148,583,89,175,26,93,13,63,0.3,0.368,0.484,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Sal Bando,OAK,AL,1973,83,0,25%,6.5,162,592,97,170,29,98,4,82,0.287,0.375,0.498,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Rod Carew,MIN,AL,1973,83,0,25%,7,149,580,98,203,6,62,41,62,0.35,0.411,0.471,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,John Hiller,DET,AL,1973,83,0,25%,7.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10,5,1.44,1.021,65,0,38,125.1,89,7,39,124
7,John Mayberry,KCR,AL,1973,76,0,23%,5.2,152,510,87,142,26,100,3,122,0.278,0.417,0.478,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Dave May,MIL,AL,1973,65,0,19%,4.7,156,624,96,189,25,93,6,44,0.303,0.352,0.473,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bobby Murcer,NYY,AL,1973,53,0,16%,5.1,160,616,83,187,22,95,6,50,0.304,0.357,0.464,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Jeff Burroughs,TEX,AL,1974,248,10,74%,3.6,152,554,84,167,25,118,2,91,0.301,0.397,0.504,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Joe Rudi,OAK,AL,1974,161,5,48%,4.7,158,593,73,174,22,99,2,34,0.293,0.334,0.484,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Sal Bando,OAK,AL,1974,143,3,43%,4.9,146,498,84,121,22,103,2,86,0.243,0.352,0.426,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Reggie Jackson,OAK,AL,1974,119,1,35%,5.7,148,506,90,146,29,93,25,86,0.289,0.391,0.514,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Fergie Jenkins,TEX,AL,1974,118,3,35%,7.8,1,2,1,1,0,0,0,0,0.5,0.5,0.5,1,25,12,2.82,1.008,41,41,0,328.1,286,27,45,225
6,Catfish Hunter,OAK,AL,1974,107,1,32%,6.9,2,0,0,0,0,0,0,0,NA,NA,NA,NA,25,12,2.49,0.986,41,41,0,318.1,268,25,46,143
7,Rod Carew,MIN,AL,1974,70,0,21%,7.5,153,599,86,218,3,55,38,74,0.364,0.433,0.446,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Elliott Maddox,NYY,AL,1974,59,0,18%,5.4,137,466,75,141,3,45,6,69,0.303,0.395,0.386,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Bobby Grich,BAL,AL,1974,49,0,15%,7.3,160,582,92,153,19,82,17,90,0.263,0.376,0.431,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Fred Lynn,BOS,AL,1975,326,22,97%,7.4,145,528,103,175,21,105,10,62,0.331,0.401,0.566,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,John Mayberry,KCR,AL,1975,157,0,47%,7.2,156,554,95,161,34,106,5,119,0.291,0.416,0.547,0.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Jim Rice,BOS,AL,1975,154,0,46%,3,144,564,92,174,22,102,10,36,0.309,0.35,0.491,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Rollie Fingers,OAK,AL,1975,129,2,38%,2.2,2,1,0,0,0,0,0,0,0,0,0,0,10,6,2.98,1.011,75,0,24,126.2,95,13,33,115
5,Reggie Jackson,OAK,AL,1975,118,0,35%,6.7,157,593,91,150,36,104,17,67,0.253,0.329,0.511,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Jim Palmer,BAL,AL,1975,82,0,24%,8.4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,11,2.09,1.031,39,38,1,323,253,20,80,193
7,Thurman Munson,NYY,AL,1975,69,0,21%,6.6,157,597,83,190,12,102,3,45,0.318,0.366,0.429,0.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,George Scott,MIL,AL,1975,64,0,19%,3.2,158,617,86,176,36,109,6,51,0.285,0.341,0.515,0.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Rod Carew,MIN,AL,1975,54,0,16%,7.8,143,535,89,192,14,80,35,64,0.359,0.421,0.497,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Thurman Munson,NYY,AL,1976,304,18,90%,5.3,152,616,79,186,17,105,14,29,0.302,0.337,0.432,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,George Brett,KCR,AL,1976,217,2,65%,7.5,159,645,94,215,7,67,21,49,0.333,0.377,0.462,0.839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Mickey Rivers,NYY,AL,1976,179,1,53%,6.4,137,590,95,184,8,67,43,13,0.312,0.327,0.432,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Hal McRae,KCR,AL,1976,99,0,29%,4.7,149,527,75,175,8,73,22,64,0.332,0.407,0.461,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Rod Carew,MIN,AL,1976,71,1,21%,6.8,156,605,97,200,9,90,49,67,0.331,0.395,0.463,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Chris Chambliss,NYY,AL,1976,71,0,21%,4.1,156,641,79,188,17,96,1,27,0.293,0.323,0.441,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Amos Otis,KCR,AL,1976,58,1,17%,3.2,153,592,93,165,18,86,26,55,0.279,0.341,0.444,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Bill Campbell,MIN,AL,1976,56,0,17%,1.9,3,0,0,0,0,0,0,0,NA,NA,NA,NA,17,5,3.01,1.235,78,0,20,167.2,145,9,62,115
9,Lee May,BAL,AL,1976,51,0,15%,2.7,148,530,61,137,25,109,4,41,0.258,0.312,0.447,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Rod Carew,MIN,AL,1977,273,12,70%,9.7,155,616,128,239,14,100,23,69,0.388,0.449,0.57,1.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Al Cowens,KCR,AL,1977,217,4,55%,5.3,162,606,98,189,23,112,16,41,0.312,0.361,0.525,0.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Ken Singleton,BAL,AL,1977,200,3,51%,5.7,152,536,90,176,24,99,0,107,0.328,0.438,0.507,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Jim Rice,BOS,AL,1977,163,1,42%,5.2,160,644,104,206,39,114,5,53,0.32,0.376,0.593,0.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Graig Nettles,NYY,AL,1977,112,2,29%,5.5,158,589,99,150,37,107,2,68,0.255,0.333,0.496,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Sparky Lyle,NYY,AL,1977,79,1,20%,3.7,1,0,0,0,0,0,0,0,NA,NA,NA,NA,13,5,2.17,1.197,72,0,26,137,131,7,33,68
7,Thurman Munson,NYY,AL,1977,70,1,18%,4.9,149,595,85,183,18,100,5,39,0.308,0.351,0.462,0.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Carlton Fisk,BOS,AL,1977,67,1,17%,7,152,536,106,169,26,102,7,75,0.315,0.402,0.521,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Reggie Jackson,NYY,AL,1977,67,1,17%,4.5,146,525,93,150,32,110,17,74,0.286,0.375,0.55,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Jim Rice,BOS,AL,1978,352,20,90%,7.6,163,677,121,213,46,139,7,58,0.315,0.37,0.6,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ron Guidry,NYY,AL,1978,291,8,74%,9.6,2,0,1,0,0,0,0,0,NA,NA,NA,NA,25,3,1.74,0.946,35,35,0,273.2,187,13,72,248
3,Larry Hisle,MIL,AL,1978,201,0,51%,5.3,142,520,96,151,34,115,10,67,0.29,0.374,0.533,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Amos Otis,KCR,AL,1978,90,0,23%,7.4,141,486,74,145,22,96,32,66,0.298,0.38,0.525,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Rusty Staub,DET,AL,1978,88,0,22%,1.5,162,642,75,175,24,121,3,76,0.273,0.347,0.435,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Graig Nettles,NYY,AL,1978,86,0,22%,5.7,159,587,81,162,27,93,1,59,0.276,0.343,0.46,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Don Baylor,CAL,AL,1978,51,0,13%,1.6,158,591,103,151,34,99,22,56,0.255,0.332,0.472,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Eddie Murray,BAL,AL,1978,50,0,13%,4.3,161,610,85,174,27,95,6,70,0.285,0.356,0.48,0.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Carlton Fisk,BOS,AL,1978,49,0,13%,5.9,157,571,94,162,20,88,7,71,0.284,0.366,0.475,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Don Baylor,CAL,AL,1979,347,20,89%,3.7,162,628,120,186,36,139,22,71,0.296,0.371,0.53,0.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Ken Singleton,BAL,AL,1979,241,3,61%,5.3,159,570,93,168,35,111,3,109,0.295,0.405,0.533,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,George Brett,KCR,AL,1979,226,2,58%,8.6,154,645,119,212,23,107,17,51,0.329,0.376,0.563,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Fred Lynn,BOS,AL,1979,160,0,41%,8.9,147,531,116,177,39,122,2,82,0.333,0.423,0.637,1.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jim Rice,BOS,AL,1979,124,0,32%,6.4,158,619,117,201,39,130,9,57,0.325,0.381,0.596,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Mike Flanagan,BAL,AL,1979,100,3,26%,3.8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23,9,3.08,1.186,39,38,0,265.2,245,23,70,190
7,Gorman Thomas,MIL,AL,1979,87,0,22%,4.8,156,557,97,136,45,123,1,98,0.244,0.356,0.539,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Bobby Grich,CAL,AL,1979,58,0,15%,6,153,534,78,157,30,101,1,59,0.294,0.365,0.537,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Darrell Porter,KCR,AL,1979,52,0,13%,7.6,157,533,101,155,20,112,3,121,0.291,0.421,0.484,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,George Brett,KCR,AL,1980,335,17,85%,9.4,117,449,87,175,24,118,15,58,0.39,0.454,0.664,1.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Reggie Jackson,NYY,AL,1980,234,5,60%,4.8,143,514,94,154,41,111,1,83,0.3,0.398,0.597,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Rich Gossage,NYY,AL,1980,218,4,56%,3.4,2,0,0,0,0,0,0,0,NA,NA,NA,NA,6,2,2.27,1.121,64,0,33,99,74,5,37,103
4,Willie Wilson,KCR,AL,1980,169,1,43%,8.5,161,705,133,230,3,49,79,28,0.326,0.357,0.421,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Cecil Cooper,MIL,AL,1980,160,0,41%,6.8,153,622,96,219,25,122,17,39,0.352,0.387,0.539,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Eddie Murray,BAL,AL,1980,106,0,27%,4.5,158,621,100,186,32,116,7,54,0.3,0.354,0.519,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Rick Cerone,NYY,AL,1980,77,1,20%,4.2,147,519,70,144,14,85,1,32,0.277,0.321,0.432,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Dan Quisenberry,KCR,AL,1980,70,0,18%,2.4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,7,3.09,1.216,75,0,33,128.1,129,5,27,37
9,Steve Stone,BAL,AL,1980,53,0,14%,3.9,12,0,0,0,0,0,0,0,NA,NA,NA,NA,25,7,3.23,1.297,37,37,0,250.2,224,22,101,149
1,Rollie Fingers,MIL,AL,1981,319,15,81%,4.2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,6,3,1.04,0.872,47,0,28,78,55,3,13,61
2,Rickey Henderson,OAK,AL,1981,308,12,79%,6.7,108,423,89,135,6,35,56,64,0.319,0.408,0.437,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Dwight Evans,BOS,AL,1981,140,0,36%,6.7,108,412,84,122,22,71,3,85,0.296,0.415,0.522,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Tony Armas,OAK,AL,1981,139,1,35%,4.2,109,440,51,115,22,76,5,19,0.261,0.294,0.48,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Eddie Murray,BAL,AL,1981,137,0,35%,3.8,99,378,57,111,22,78,2,40,0.294,0.36,0.534,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Carney Lansford,BOS,AL,1981,109,0,28%,3.7,102,399,61,134,4,52,15,34,0.336,0.389,0.439,0.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Dave Winfield,NYY,AL,1981,98,0,25%,2.5,105,388,52,114,13,68,11,43,0.294,0.36,0.464,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Cecil Cooper,MIL,AL,1981,96,0,24%,4.2,106,416,70,133,12,60,5,28,0.32,0.363,0.495,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Rich Gossage,NYY,AL,1981,62,0,16%,2.3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,2,0.77,0.771,32,0,20,46.2,22,2,14,48
1,Robin Yount,MIL,AL,1982,385,27,98%,10.6,156,635,129,210,29,114,14,54,0.331,0.379,0.578,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Eddie Murray,BAL,AL,1982,228,0,58%,5.2,151,550,87,174,32,110,7,70,0.316,0.391,0.549,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Doug DeCinces,CAL,AL,1982,178,0,45%,7.6,153,575,94,173,30,97,7,66,0.301,0.369,0.548,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Hal McRae,KCR,AL,1982,175,0,45%,4.1,159,613,91,189,27,133,4,55,0.308,0.369,0.542,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Cecil Cooper,MIL,AL,1982,152,0,39%,5.7,155,654,104,205,32,121,2,32,0.313,0.342,0.528,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Reggie Jackson,CAL,AL,1982,107,1,27%,3.1,153,530,92,146,39,101,4,85,0.275,0.375,0.532,0.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Dwight Evans,BOS,AL,1982,57,0,15%,6.5,162,609,122,178,32,98,3,112,0.292,0.402,0.534,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Gorman Thomas,MIL,AL,1982,44,0,11%,5,158,567,96,139,39,112,3,84,0.245,0.343,0.506,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Dan Quisenberry,KCR,AL,1982,39,0,10%,3.3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,9,7,2.57,1.01,72,0,35,136.2,126,12,12,46
1,Cal Ripken Jr.,BAL,AL,1983,322,15,82%,8.2,162,663,121,211,27,102,0,58,0.318,0.371,0.517,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Eddie Murray,BAL,AL,1983,290,10,74%,6.7,156,582,115,178,33,111,5,86,0.306,0.393,0.538,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Carlton Fisk,CHW,AL,1983,209,3,53%,4.3,138,488,85,141,26,86,9,46,0.289,0.355,0.518,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Jim Rice,BOS,AL,1983,150,0,38%,5.7,155,626,90,191,39,126,0,52,0.305,0.361,0.55,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Cecil Cooper,MIL,AL,1983,123,0,31%,4,160,661,106,203,30,126,2,37,0.307,0.341,0.508,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Dan Quisenberry,KCR,AL,1983,107,0,27%,5.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,3,1.94,0.928,69,0,45,139,118,6,11,48
7,Dave Winfield,NYY,AL,1983,85,0,22%,2.5,152,598,99,169,32,116,15,58,0.283,0.345,0.513,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Lou Whitaker,DET,AL,1983,84,0,21%,6.7,161,643,94,206,12,72,17,67,0.32,0.38,0.457,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Lance Parrish,DET,AL,1983,66,0,17%,4.7,155,605,80,163,27,114,1,44,0.269,0.314,0.483,0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Willie Hernández,DET,AL,1984,306,16,78%,4.8,2,0,0,0,0,0,0,0,NA,NA,NA,NA,9,3,1.92,0.941,80,0,32,140.1,96,6,36,112
2,Kent Hrbek,MIN,AL,1984,247,5,63%,5.6,149,559,80,174,27,107,1,65,0.311,0.383,0.522,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Dan Quisenberry,KCR,AL,1984,235,5,60%,3.3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6,3,2.64,1.028,72,0,44,129.1,121,10,12,41
4,Eddie Murray,BAL,AL,1984,197,2,50%,7.1,162,588,97,180,29,110,10,107,0.306,0.41,0.509,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Don Mattingly,NYY,AL,1984,113,0,29%,6.3,153,603,91,207,23,110,1,41,0.343,0.381,0.537,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Kirk Gibson,DET,AL,1984,96,0,24%,5.1,149,531,92,150,27,91,29,63,0.282,0.363,0.516,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Tony Armas,BOS,AL,1984,87,0,22%,2.6,157,639,107,171,43,123,1,32,0.268,0.3,0.531,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Dave Winfield,NYY,AL,1984,83,0,21%,5.3,141,567,106,193,19,100,6,53,0.34,0.393,0.515,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Alan Trammell,DET,AL,1984,76,0,19%,6.8,139,555,85,174,14,69,19,60,0.314,0.382,0.468,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Don Mattingly,NYY,AL,1985,367,23,94%,6.5,159,652,107,211,35,145,2,56,0.324,0.371,0.567,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,George Brett,KCR,AL,1985,274,5,70%,8.3,155,550,108,184,30,112,9,103,0.335,0.436,0.585,1.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Rickey Henderson,NYY,AL,1985,174,0,44%,9.9,143,547,146,172,24,72,80,99,0.314,0.419,0.516,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Wade Boggs,BOS,AL,1985,159,0,41%,9.1,161,653,107,240,8,78,2,96,0.368,0.45,0.478,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Eddie Murray,BAL,AL,1985,130,0,33%,5.6,156,583,111,173,31,124,5,84,0.297,0.383,0.523,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Donnie Moore,CAL,AL,1985,96,0,24%,3.6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,8,1.92,1.087,65,0,31,103,91,9,21,72
7,Jesse Barfield,TOR,AL,1985,88,0,22%,6.8,155,539,94,156,27,84,22,66,0.289,0.369,0.536,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,George Bell,TOR,AL,1985,84,0,21%,4.1,157,607,87,167,28,95,21,43,0.275,0.327,0.479,0.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Harold Baines,CHW,AL,1985,49,0,13%,2.4,160,640,86,198,22,113,1,42,0.309,0.348,0.467,0.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Roger Clemens,BOS,AL,1986,339,19,86%,8.8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,24,4,2.48,0.969,33,33,0,254,179,21,67,238
2,Don Mattingly,NYY,AL,1986,258,5,66%,7.2,162,677,117,238,31,113,0,53,0.352,0.394,0.573,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Jim Rice,BOS,AL,1986,241,4,61%,5.6,157,618,98,200,20,110,0,62,0.324,0.384,0.49,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,George Bell,TOR,AL,1986,125,0,32%,3.8,159,641,101,198,31,108,7,41,0.309,0.349,0.532,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jesse Barfield,TOR,AL,1986,107,0,27%,7.6,158,589,107,170,40,108,8,69,0.289,0.368,0.559,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Kirby Puckett,MIN,AL,1986,105,0,27%,5.7,161,680,119,223,31,96,20,34,0.328,0.366,0.537,0.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Wade Boggs,BOS,AL,1986,87,0,22%,8.1,149,580,107,207,8,71,0,105,0.357,0.453,0.486,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Wally Joyner,CAL,AL,1986,74,0,19%,3.2,154,593,82,172,22,100,5,57,0.29,0.348,0.457,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Joe Carter,CLE,AL,1986,72,0,18%,5.7,162,663,108,200,29,121,29,32,0.302,0.335,0.514,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
